taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
10715409	BOLD:ADW3815	10715409	BOLD:ADW3815	2	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Nosopsyllus	1417236			
1416354	Plocopsylla lewisi Beaucournu & Gallardo, 1988	1416354	Plocopsylla lewisi Beaucournu & Gallardo, 1988	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Stephanocircidae	5330	Plocopsylla	1416347	Plocopsylla lewisi	1416354	
1416936	Tarsopsylla octodecimdentata (Kolenati, 1863)	1416936	Tarsopsylla octodecimdentata (Kolenati, 1863)	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Tarsopsylla	1416935	Tarsopsylla octodecimdentata	1416936	
5051011	Ctenophthalmus agyrtes serbicus Wagner, 1930	5051011	Ctenophthalmus agyrtes serbicus Wagner, 1930	83	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195	Ctenophthalmus agyrtes	5050990	
5051041	Neopsylla hissarica Ioff & Sosnina, 1950	5051041	Neopsylla hissarica Ioff & Sosnina, 1950	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Neopsylla	1418659	Neopsylla hissarica	5051041	
7198570	Ctenophthalmus russulae russulae	7198570	Ctenophthalmus russulae russulae	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195	Ctenophthalmus russulae	5050911	
1416393	Delostichus octomyos Jordan, 1942	1416393	Delostichus octomyos Jordan, 1942	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Rhopalopsyllidae	8854	Delostichus	1416388	Delostichus octomyos	1416393	
1416518	Ectinorus ineptus Johnson, 1957	1416518	Ectinorus ineptus Johnson, 1957	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Rhopalopsyllidae	8854	Ectinorus	1416509	Ectinorus ineptus	1416518	
1417536	Hormopsylla Rothschild, 1921	1417536	Hormopsylla Rothschild, 1921	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ischnopsyllidae	5324	Hormopsylla	1417536			
1418160	Hypsophthalmus temporis De Meillon, 1940	1418160	Hypsophthalmus temporis De Meillon, 1940	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Chimaeropsyllidae	8847	Hypsophthalmus	1418156	Hypsophthalmus temporis	1418160	
1419433	Xenopsylla taractes Jordan & Rothschild, 1913	1419433	Xenopsylla taractes Jordan & Rothschild, 1913	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Pulicidae	8853	Xenopsylla	1419358	Xenopsylla taractes	1419433	
5050957	Ctenophthalmus congener italoscopus Peus, 1958	5050957	Ctenophthalmus congener italoscopus Peus, 1958	23	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195	Ctenophthalmus congener	5050953	
6194197	Ceratophyllus vagabundus alpestris Jordan, 1926	6194197	Ceratophyllus vagabundus alpestris Jordan, 1926	30	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Ceratophyllus	1417115	Ceratophyllus vagabundus	1417119	
6194202	Ceratophyllus rossittensis swansoni Liu Chiying, 1935	6194202	Ceratophyllus rossittensis swansoni Liu Chiying, 1935	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Ceratophyllus	1417115	Ceratophyllus rossittensis	1417140	
6194564	Catallagia sculleni chamberlini Hubbard, 1940	6194564	Catallagia sculleni chamberlini Hubbard, 1940	1	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Catallagia	1418928	Catallagia sculleni	1418938	
