Order,Infraorder,Superfamily,FAMILY,SUBFAMILY,GENUS,SPECIES,subspecies,Author,YEAR,SYNONYM(S),,Fossil
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ischnopsyllidae,Ischnopsyllinae,Nycteridopsylla,trigona,trigona,(Ioff & Labunets),1953,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Stenoponiinae,Stenoponia,tripectinata,tripectinata,(Tiraboschi),1902,,,
Siphonaptera,Pulicomorpha,Malacopsylloidea ,Rhopalopsyllidae,Rhopalopsyllinae,Polygenis,roberti,tripopsis,Guimaráes,1948,,,
Siphonaptera,Pulicomorpha,Pulicoidea  ,Pulicidae,Spilopsyllinae,Xenopsylla,trispinus,trispinus,Waterson,1911,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,congener,troilus,Peus,1954,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Hystrichopsyllidae,Hystrichopsyllinae,Hystrichopsylla,dippiei,truncata,Holland,1957,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,congeneroides,truncus,Ioff & Scalon,1950,"Euctenophthalmus congener hasegawai Ono, 1955; Ctenophthalmus congener hokkaidensis Smit, 1955",,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Nosopsyllus,aralis,tschu,(Schiranovich),1946,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllidae,Leptopsyllinae,Leptopsylla,algira,tuggertensis,Smit,1951,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllidae,Amphipsyllinae,Ophthalmopsylla,volgensis,tuoliensis,"Yu, Ye & Liu",1983,,,
Siphonaptera,Pulicomorpha,Malacopsylloidea ,Rhopalopsyllidae,Rhopalopsyllinae,Rhopalopsyllus,australis,tupinquinus,Guimaráes,1940,,,
Siphonaptera,Pulicomorpha,Malacopsylloidea ,Rhopalopsyllidae,Rhopalopsyllinae,Rhopalopsyllus,australis,tupinus,Jordan & Rothschild,1923,,,
Siphonaptera,Pulicomorpha,Pulicoidea  ,Pulicidae,Spilopsyllinae,Pariodontis,riggenbachi,turkestanica,Dubinin,1947,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ischnopsyllidae,Ischnopsyllinae,Rhinolophopsylla,unipectinata,turkestanica,Ioff,1953,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Nosopsyllus,turkmenicus,turkmenicus,(Vlasov & Ioff),1937,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllidae,Amphipsyllinae,Mesopsylla,tuschkan,tuschkan,Wagner & Ioff,1926,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllidae,Amphipsyllinae,Amphipsylla,tuta,tuta,Wagner,1928,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,nifetodes,tvrtkovici,Brelih,1986,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,ubayensis,ubayensis,Lumaret & Lumaret,1969,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Hystrichopsyllidae,Hystrichopsyllinae,Hystrichopsylla,weida,uimmamemsos,Xie & Gong,1979,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,uncinatus,uncinatus,(Wagner),1898,"Ctenophthalmus tataricus Rostigayev & Shiranovich, 1964",,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ischnopsyllidae,Ischnopsyllinae,Rhinolophopsylla,unipectinata,unipectinata,(Taschenberg),1880,"Araeopsylla hispanica Gil Collado, 1934",,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,gigantospalacis,uralospalacis,Tiflov & Usov,1939,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,dolichus,ursat,Ioff,1953,,,
