TPTID,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,infraorder,superfamily,subfamily,canonical
CoLxBL,xBL,,,xBJ,,,,,Acanthopsylla,,,,,,,,,,,,,Acanthopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Acanthopsylla
CoLx8U,x8U,,,xE,,,,,Nesolagobius,,,,,,,,,,,,,Nesolagobius,,,,GENUS,,,,,ACCEPTED,,,,,,Nesolagobius
CoLxC6,xC6,,,xBJ,,,,,Wurunjerria,,,,,,,,,,,,,Wurunjerria,,,,GENUS,,,,,ACCEPTED,,,,,,Wurunjerria
CoLxC2,xC2,,,xBJ,,,,,Pagipsylla,,,,,,,,,,,,,Pagipsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Pagipsylla
CoLxC4,xC4,,,xBJ,,,,,Pygiopsylla,,,,,,,,,,,,,Pygiopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Pygiopsylla
CoLxBY,xBY,,,xBJ,,,,,Notiopsylla,,,,,,,,,,,,,Notiopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Notiopsylla
CoLxBW,xBW,,,xBJ,,,,,Hoogstraalia,,,,,,,,,,,,,Hoogstraalia,,,,GENUS,,,,,ACCEPTED,,,,,,Hoogstraalia
CoLxBU,xBU,,,xBJ,,,,,Geohollandia,,,,,,,,,,,,,Geohollandia,,,,GENUS,,,,,ACCEPTED,,,,,,Geohollandia
CoLxBS,xBS,,,xBJ,,,,,Ctenidiosomus,,,,,,,,,,,,,Ctenidiosomus,,,,GENUS,,,,,ACCEPTED,,,,,,Ctenidiosomus
CoLxBQ,xBQ,,,xBJ,,,,,Bibikovana,,,,,,,,,,,,,Bibikovana,,,,GENUS,,,,,ACCEPTED,,,,,,Bibikovana
CoLxBN,xBN,,,xBJ,,,,,Austropsylla,,,,,,,,,,,,,Austropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Austropsylla
CoLxBE,xBE,,,xB8,,,,,Lycopsylla,,,,,,,,,,,,,Lycopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Lycopsylla
CoLxBG,xBG,,,xB8,,,,,Uropsylla,,,,,,,,,,,,,Uropsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Uropsylla
CoLxBC,xBC,,,xB8,,,,,Choristopsylla,,,,,,,,,,,,,Choristopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Choristopsylla
CoLxBA,xBA,,,xB8,,,,,Bradiopsylla,,,,,,,,,,,,,Bradiopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Bradiopsylla
CoLxE2,xE2,,,xL,,,,,Tiflovia,,,,,,,,,,,,,Tiflovia,,,,GENUS,,,,,ACCEPTED,,,,,,Tiflovia
CoLxE4,xE4,,,xL,,,,,Traubia,,,,,,,,,,,,,Traubia,,,,GENUS,,,,,ACCEPTED,,,,,,Traubia
CoLxDY,xDY,,,xL,,,,,Striopsylla,,,,,,,,,,,,,Striopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Striopsylla
CoLxE6,xE6,,,xL,,,,,Zyx,,,,,,,,,,,,,Zyx,,,,GENUS,,,,,ACCEPTED,,,,,,Zyx
CoLxDW,xDW,,,xL,,,,,Smitella,,,,,,,,,,,,,Smitella,,,,GENUS,,,,,ACCEPTED,,,,,,Smitella
CoLxDU,xDU,,,xL,,,,,Rectidigitus,,,,,,,,,,,,,Rectidigitus,,,,GENUS,,,,,ACCEPTED,,,,,,Rectidigitus
CoLxC8,xC8,,,xL,,,,,Afristivalius,,,,,,,,,,,,,Afristivalius,,,,GENUS,,,,,ACCEPTED,,,,,,Afristivalius
CoLxCL,xCL,,,xL,,,,,Lentistivalius,,,,,,,,,,,,,Lentistivalius,,,,GENUS,,,,,ACCEPTED,,,,,,Lentistivalius
CoLxCN,xCN,,,xL,,,,,Medwayella,,,,,,,,,,,,,Medwayella,,,,GENUS,,,,,ACCEPTED,,,,,,Medwayella
